product_id,product_name,product_category,subcategory,gender,size,color,price,discount_applied,units_sold,sales_date,store_location,channel,season,inventory_level,restock_indicator,revenue,discounted_price
UQ00001,Leggings Pants,Bottoms,Shorts,Men,XXL,Gray,62.34,18.7,15,2025-02-08,"Houston, TX",Online,Fall,71,No,935.1,-1103.4180000000001
UQ00002,Linen Shirt,Tops,Blouses,Unisex,XS,Black,93.71,0.0,7,2024-07-18,"Chicago, IL",Online,Summer,82,No,655.9699999999999,93.71
UQ00003,Cotton Long Sleeve,Tops,T-Shirts,Unisex,XL,Navy,23.9,2.39,11,2024-06-14,"Houston, TX",In-Store,Spring,87,No,262.9,-33.221000000000004
UQ00004,UV Cut Hat,Accessories,Hats,Unisex,M,Navy,56.62,5.66,8,2025-03-19,"Chicago, IL",Online,Summer,23,No,452.96,-263.8492
UQ00005,Linen Shirt,Tops,T-Shirts,Unisex,M,White,101.02,30.31,2,2024-09-19,"San Francisco, CA",In-Store,Winter,87,No,202.04,-2960.8961999999997
UQ00006,Chino Shorts,Bottoms,Skirts,Unisex,L,Beige,126.44,0.0,6,2024-09-08,"Houston, TX",Online,Spring,1,Yes,758.64,126.44
UQ00007,Hooded Coat,Outerwear,Coats,Women,XL,Beige,35.36,7.07,1,2024-08-30,"New York, NY",In-Store,Spring,75,No,35.36,-214.6352
UQ00008,Ultra Stretch Jeans,Bottoms,Shorts,Women,XXL,Red,95.53,9.55,12,2024-07-29,"Chicago, IL",Online,Fall,88,No,1146.3600000000001,-816.7815
UQ00009,Hooded Coat,Outerwear,Parkas,Women,XL,Beige,50.67,15.2,10,2025-03-18,"San Francisco, CA",In-Store,Summer,91,No,506.70000000000005,-719.514
UQ00010,HeatTech Scarf,Accessories,Scarves,Men,M,Blue,146.23,14.62,15,2024-07-14,"San Francisco, CA",In-Store,Winter,61,No,2193.45,-1991.6525999999997
UQ00011,Linen Shirt,Tops,Blouses,Women,M,Red,22.58,0.0,19,2025-02-22,"San Francisco, CA",In-Store,Spring,54,No,429.02,22.58
UQ00012,Leggings Pants,Bottoms,Skirts,Women,L,Navy,147.55,29.51,3,2025-03-19,"Chicago, IL",In-Store,Winter,50,No,442.65000000000003,-4206.650500000001
UQ00013,Ultra Stretch Jeans,Bottoms,Skirts,Men,XS,Beige,105.14,0.0,9,2025-05-17,"Los Angeles, CA",Online,Winter,38,No,946.26,105.14
UQ00014,Leggings Pants,Bottoms,Jeans,Men,XXL,White,11.76,3.53,14,2025-01-02,"Houston, TX",In-Store,Fall,8,Yes,164.64,-29.752799999999997
UQ00015,Hooded Coat,Outerwear,Jackets,Men,S,Navy,12.14,3.64,2,2024-07-08,"Houston, TX",In-Store,Spring,83,No,24.28,-32.049600000000005
UQ00016,Ultra Stretch Jeans,Bottoms,Jeans,Men,XS,White,43.64,4.36,7,2025-01-20,"San Francisco, CA",Online,Fall,43,No,305.48,-146.6304
UQ00017,BlockTech Parka,Outerwear,Parkas,Men,L,Gray,79.22,15.84,15,2024-11-15,"Houston, TX",In-Store,Winter,34,No,1188.3,-1175.6248
UQ00018,Mini Shoulder Bag,Accessories,Bags,Women,S,Black,137.2,27.44,4,2024-06-17,"San Francisco, CA",Online,Summer,49,No,548.8,-3627.5679999999998
UQ00019,Leggings Pants,Bottoms,Skirts,Men,M,White,102.65,10.27,2,2024-06-16,"New York, NY",Online,Summer,5,Yes,205.3,-951.5655
UQ00020,AIRism T-Shirt,Tops,T-Shirts,Men,S,White,39.01,11.7,4,2024-07-11,"San Francisco, CA",In-Store,Winter,53,No,156.04,-417.4069999999999
UQ00021,UV Cut Hat,Accessories,Scarves,Men,XS,Blue,14.28,4.28,18,2024-08-28,"Houston, TX",In-Store,Fall,89,No,257.03999999999996,-46.8384
UQ00022,Chino Shorts,Bottoms,Skirts,Women,L,Navy,72.87,14.57,10,2024-09-03,"San Francisco, CA",Online,Summer,61,No,728.7,-988.8459
UQ00023,BlockTech Parka,Outerwear,Coats,Women,M,Navy,139.63,41.89,16,2024-12-18,"Los Angeles, CA",In-Store,Summer,14,Yes,2234.08,-5709.4707
UQ00024,Leggings Pants,Bottoms,Jeans,Women,L,Black,22.29,0.0,8,2025-01-24,"Los Angeles, CA",In-Store,Spring,84,No,178.32,22.29
UQ00025,Hooded Coat,Outerwear,Parkas,Unisex,S,White,64.31,0.0,18,2024-06-15,"New York, NY",In-Store,Summer,52,No,1157.58,64.31
UQ00026,HeatTech Scarf,Accessories,Hats,Women,XS,White,92.05,18.41,13,2025-01-08,"Houston, TX",Online,Winter,40,No,1196.6499999999999,-1602.5905
UQ00027,Cotton Long Sleeve,Tops,Blouses,Women,XXL,Blue,51.38,0.0,13,2024-08-21,"San Francisco, CA",Online,Summer,64,No,667.94,51.38
UQ00028,Ultra Light Down Jacket,Outerwear,Jackets,Unisex,S,Beige,12.09,1.21,9,2025-03-10,"San Francisco, CA",In-Store,Fall,87,No,108.81,-2.5388999999999995
UQ00029,UV Cut Hat,Accessories,Hats,Men,XXL,White,65.18,0.0,8,2025-02-12,"Los Angeles, CA",Online,Spring,87,No,521.44,65.18
UQ00030,UV Cut Hat,Accessories,Scarves,Women,M,Gray,11.87,3.56,19,2025-03-04,"San Francisco, CA",In-Store,Spring,80,No,225.52999999999997,-30.3872
UQ00031,Chino Shorts,Bottoms,Skirts,Men,L,Beige,109.49,32.85,3,2025-01-02,"Houston, TX",Online,Spring,32,No,328.46999999999997,-3487.2565
UQ00032,HeatTech Scarf,Accessories,Scarves,Unisex,XS,Navy,94.73,18.95,10,2024-11-14,"San Francisco, CA",In-Store,Summer,40,No,947.3000000000001,-1700.4035
UQ00033,UV Cut Hat,Accessories,Hats,Unisex,XXL,White,137.99,13.8,9,2024-08-29,"Houston, TX",Online,Spring,71,No,1241.91,-1766.2720000000002
UQ00034,Ultra Light Down Jacket,Outerwear,Jackets,Women,XXL,Blue,72.82,21.85,1,2024-11-26,"San Francisco, CA",Online,Winter,47,No,72.82,-1518.297
UQ00035,Mini Shoulder Bag,Accessories,Scarves,Men,XL,Black,61.81,12.36,5,2025-01-19,"San Francisco, CA",In-Store,Winter,98,No,309.05,-702.1616
UQ00036,UV Cut Hat,Accessories,Scarves,Women,XL,Navy,92.68,9.27,3,2024-09-21,"New York, NY",Online,Summer,64,No,278.04,-766.4636
UQ00037,BlockTech Parka,Outerwear,Coats,Men,S,Red,63.51,12.7,15,2025-04-15,"New York, NY",Online,Winter,77,No,952.65,-743.0669999999999
UQ00038,Ultra Stretch Jeans,Bottoms,Shorts,Men,XL,Black,128.75,12.88,5,2025-05-08,"San Francisco, CA",In-Store,Winter,89,No,643.75,-1529.5500000000002
UQ00039,UV Cut Hat,Accessories,Bags,Unisex,M,Navy,42.94,12.88,14,2024-06-07,"New York, NY",Online,Winter,26,No,601.16,-510.1272
UQ00040,BlockTech Parka,Outerwear,Jackets,Unisex,L,Navy,83.08,24.92,15,2025-03-26,"Los Angeles, CA",Online,Summer,89,No,1246.2,-1987.2736
UQ00041,BlockTech Parka,Outerwear,Coats,Women,S,White,13.46,2.69,13,2025-04-13,"Houston, TX",In-Store,Winter,50,No,174.98000000000002,-22.7474
UQ00042,Ultra Light Down Jacket,Outerwear,Coats,Women,S,White,14.3,4.29,7,2024-08-06,"San Francisco, CA",Online,Fall,51,No,100.10000000000001,-47.047000000000004
UQ00043,Leggings Pants,Bottoms,Skirts,Women,XL,Blue,88.76,0.0,4,2025-03-03,"Los Angeles, CA",In-Store,Spring,93,No,355.04,88.76
UQ00044,Cotton Long Sleeve,Tops,Blouses,Unisex,XXL,Black,29.41,2.94,7,2024-11-16,"Houston, TX",Online,Fall,14,Yes,205.87,-57.0554
UQ00045,BlockTech Parka,Outerwear,Jackets,Unisex,M,Beige,115.68,11.57,4,2024-10-15,"New York, NY",Online,Spring,12,Yes,462.72,-1222.7376000000002
UQ00046,Leggings Pants,Bottoms,Skirts,Unisex,S,Gray,20.68,0.0,19,2024-09-20,"Chicago, IL",In-Store,Winter,85,No,392.92,20.68
UQ00047,UV Cut Hat,Accessories,Hats,Women,XL,Red,133.17,0.0,10,2024-08-04,"Houston, TX",In-Store,Fall,44,No,1331.6999999999998,133.17
UQ00048,Leggings Pants,Bottoms,Skirts,Unisex,XS,Beige,51.29,10.26,6,2024-08-27,"Los Angeles, CA",Online,Summer,27,No,307.74,-474.9454
UQ00049,Hooded Coat,Outerwear,Coats,Women,L,Beige,122.41,36.72,12,2025-03-28,"Los Angeles, CA",In-Store,Fall,83,No,1468.92,-4372.4852
UQ00050,Ultra Stretch Jeans,Bottoms,Jeans,Women,S,Beige,134.86,40.46,11,2024-10-13,"San Francisco, CA",In-Store,Winter,91,No,1483.46,-5321.575600000001
UQ00051,Linen Shirt,Tops,Shirts,Men,L,White,59.78,17.93,1,2024-07-14,"Houston, TX",Online,Fall,0,Yes,59.78,-1012.0754000000001
UQ00052,Hooded Coat,Outerwear,Jackets,Women,XL,Black,41.81,8.36,20,2024-07-11,"Los Angeles, CA",In-Store,Spring,76,No,836.2,-307.72159999999997
UQ00053,Cotton Long Sleeve,Tops,Blouses,Men,L,Black,130.4,26.08,7,2024-10-30,"Chicago, IL",Online,Fall,69,No,912.8000000000001,-3270.432
UQ00054,Leggings Pants,Bottoms,Skirts,Women,S,Beige,81.4,8.14,9,2024-07-12,"Los Angeles, CA",In-Store,Fall,61,No,732.6,-581.1960000000001
UQ00055,Cotton Long Sleeve,Tops,T-Shirts,Women,L,Navy,41.0,0.0,19,2024-10-22,"Los Angeles, CA",Online,Winter,43,No,779.0,41.0
UQ00056,UV Cut Hat,Accessories,Hats,Men,M,Black,44.08,13.22,9,2025-04-30,"Chicago, IL",Online,Summer,51,No,396.71999999999997,-538.6576
UQ00057,Chino Shorts,Bottoms,Jeans,Women,XXL,Black,60.81,12.16,17,2024-10-16,"Houston, TX",In-Store,Summer,57,No,1033.77,-678.6396000000001
UQ00058,Cotton Long Sleeve,Tops,Blouses,Men,XL,Black,144.64,28.93,7,2025-01-25,"Houston, TX",In-Store,Winter,1,Yes,1012.4799999999999,-4039.7951999999996
UQ00059,Cotton Long Sleeve,Tops,Shirts,Unisex,XL,Navy,109.62,10.96,5,2024-09-15,"Chicago, IL",Online,Fall,55,No,548.1,-1091.8152000000002
UQ00060,UV Cut Hat,Accessories,Scarves,Men,L,Blue,15.06,3.01,17,2025-04-14,"Chicago, IL",Online,Winter,1,Yes,256.02,-30.270599999999998
UQ00061,AIRism T-Shirt,Tops,Shirts,Unisex,XXL,White,80.28,24.08,5,2024-06-21,"Chicago, IL",Online,Winter,95,No,401.4,-1852.8624
UQ00062,Linen Shirt,Tops,Shirts,Men,S,Red,137.06,0.0,19,2025-03-15,"New York, NY",In-Store,Spring,1,Yes,2604.14,137.06
UQ00063,Cotton Long Sleeve,Tops,Blouses,Men,XXL,Gray,84.23,25.27,6,2024-11-30,"Houston, TX",Online,Summer,31,No,505.38,-2044.2621000000001
UQ00064,Cotton Long Sleeve,Tops,T-Shirts,Men,M,Blue,92.88,9.29,11,2024-12-30,"Houston, TX",Online,Summer,55,No,1021.68,-769.9751999999999
